/Users/bell/ecoraid/2015/Moorings/15bs8a/final_data/15bs8a_s39_0023m.nc
2015-12-27,-1.35718405247
2015-12-28,-1.53768336773
2015-12-29,-1.43350064754
2015-12-30,-1.35056114197
2015-12-31,-1.66794240475
2016-01-01,-1.37386322021
2016-01-02,-1.57737362385
2016-01-03,-1.71421325207
2016-01-04,-1.71703743935
2016-01-05,-1.71557152271
2016-01-06,-1.6953305006
2016-01-07,-1.62495207787
2016-01-08,-1.2853076458
2016-01-09,-1.19066250324
2016-01-10,-1.24873399734
2016-01-11,-1.22697150707
2016-01-12,-1.20270907879
2016-01-13,-1.33027219772
2016-01-14,-1.43934381008
2016-01-15,-1.52361869812
2016-01-16,-1.64776325226
2016-01-17,-1.6890771389
2016-01-18,-1.59430134296
2016-01-19,-1.03347289562
2016-01-20,-0.88781529665
2016-01-21,-1.03711247444
2016-01-22,-1.41245484352
2016-01-23,-1.57567775249
2016-01-24,-1.65981662273
2016-01-25,-1.55183887482
2016-01-26,-1.58339309692
2016-01-27,-1.675984025
2016-01-28,-1.60107147694
2016-01-29,-1.75481593609
2016-01-30,-1.75147640705
2016-01-31,-1.74969160557
2016-02-01,-1.74777436256
2016-02-02,-1.74589931965
2016-02-03,-1.7387958765
2016-02-04,-1.74428403378
2016-02-05,-1.74512851238
2016-02-06,-1.74657011032
2016-02-07,-1.74626803398
2016-02-08,-1.7459846735
2016-02-09,-1.74545907974
2016-02-10,-1.74555623531
2016-02-11,-1.74567914009
2016-02-12,-1.74658954144
2016-02-13,-1.74499022961
2016-02-14,-1.74560904503
2016-02-15,-1.7446846962
2016-02-16,-1.74334442616
2016-02-17,-1.74369239807
2016-02-18,-1.74600481987
2016-02-19,-1.74687564373
2016-02-20,-1.74612009525
2016-02-21,-1.74744164944
2016-02-22,-1.74724721909
2016-02-23,-1.74438536167
2016-02-24,-1.74396526814
2016-02-25,-1.74665343761
2016-02-26,-1.74982845783
2016-02-27,-1.75023055077
2016-02-28,-1.75147151947
2016-02-29,-1.75587844849
2016-03-01,-1.75504374504
2016-03-02,-1.75443613529
2016-03-03,-1.74644994736
2016-03-04,-1.74254727364
2016-03-05,-1.73933815956
2016-03-06,-1.72715759277
2016-03-07,-1.72287356853
2016-03-08,-1.72279930115
2016-03-09,-1.73940765858
2016-03-10,-1.7427021265
2016-03-11,-1.74628329277
2016-03-12,-1.7424236536
2016-03-13,-1.73963677883
2016-03-14,-1.74793887138
2016-03-15,-1.74650621414
2016-03-16,-1.74091458321
2016-03-17,-1.73023331165
2016-03-18,-1.72137153149
2016-03-19,-1.72079098225
2016-03-20,-1.71911394596
2016-03-21,-1.71555554867
2016-03-22,-1.71710550785
2016-03-23,-1.71898400784
